Antop Hill 
B P T Colony 
Wadala Truck Terminal 
C G S Colony 
Andheri Railway Station 
H.M.P. School 
Nagardas Road 
J.B. Nagar 
Marol Naka 
Andheri East 
Marol Bazar 
Best Staff Colony 
Bhandup West 
Chunabhatti 
Ghatkopar West 
J.M. Road 
Mulund West 
Transit Camp 
Bhandup Complex 
Chembur Rs 
FCI 
Pant Nagar 
Sahakar Bhavan 
Chembur Extension 
Mulund Colony 
Rajawadi 
Sakinaka 
Vikhroli 
Anushakti Nagar 
BARC 
Chembur 
Kurla North 
Nahur 
Raoli Camp 
Kannamwar Nagar 
Nehru Road  (Mumbai)
Sindhi Society 
Tagore Nagar 
Barve Nagar 
Mahul Road 
Mulund East 
Powai Iit 
Psm Colony 
R.A.Nagar 
Rifle Range 
Tilak Nagar  (Mumbai)
Bhandup Ind. Estate 
D.M. Colony 
Mulund Dd Road 
Netajinagar 
Sion 
Vihar Road 
Kurla 
Mhada Colony 
P.H. Colony 
S.B. Road 
Shivaji Nagar  (Mumbai)
Usha Nagar 
Dharavi 
Dharavi Road 
Ins Hamla 
Kharodi 
Airport  (Mumbai)
Vesava 
Vileeparle (East) 
Vileparle Railway Station 
International Airport 
Chakala Midc 
Sahar P & T Colony 
Sahargaon 
Vidyanagari 
Vileparle(West) 
IRLA 
Seepz 
Hanuman Road 
Madh 
Goregaon East 
Jogeshwari East 
Kandivali West 
Oshiwara 
Rani Sati Marg 
Nagari Niwara 
S. K.Nagar 
Sharma Estate 
Dahisar RS 
Daulat Nagar  (Mumbai)
Goregaon  (Mumbai)
Jogeshwari West 
Kandivali RS 
Ketkipada 
Liberty Garden 
Bangur Nagar 
Borivali 
Charkop 
Dahisar 
Malad East 
Orlem 
Rajendra Nagar  (Mumbai)
Aareymilk Colony 
Kandivali East 
Borivali East 
S R P F Camp 
Borivali West 
Magthane 
Malad 
Malad West Dely 
Goregaon RS 
Mandapeshwar 
Motilal Nagar 
Haffkin Institute 
Lal Baug 
Parel Rly Work Shop 
BEST STaff Quarters 
Parel 
Chamarbaug 
Parel Naka 
Chaupati 
Girgaon 
Thakurdwar 
Central Building 
Churchgate 
Marine Lines 
Ramwadi 
S. C. Court 
Madhavbaug 
Opera House 
Ambewadi  (Mumbai)
Kalbadevi 
Charni Road 
J.J.Hospital 
M A Marg 
Worli Naka 
Delisle Road 
Mumbai Central 
Falkland Road 
Kamathipura 
Worli 
B.N. Bhavan 
Audit Bhavan 
Khar Delivery 
Vakola 
Kherwadi 
Bandra West 
V.P. Road 
A I Staff Colony 
Bandra(East) 
Santacruz P&t Colony 
Santacruz(West) 
Danda 
Government Colony 
Khar Colony 
Santacruz Central 
Santacruz(East) 
Mazgaon Dock 
Princess Dock 
Reay Road 
Cotton Exchange 
Dadar Colony 
V K Bhavan 
Wadala Rs 
Dadar 
Kalachowki 
Noor Baug 
Sewri 
V J B Udyan 
B.P.Lane 
Chinchbunder 
Masjid 
Mazgaon Road 
Tank Road 
L B S N E collage 
Mazgaon 
Kidwai Nagar  (Mumbai)
Naigaon  (Mumbai)
Null Bazar 
Wadala 
Dockyard Road 
Mandvi  (Mumbai)
Nehru Nagar  (Mumbai)
Matunga 
Stock Exchange 
High Court Building  (Mumbai)
Mantralaya  (Mumbai)
Town Hall  (Mumbai)
Asvini 
M.P.T. 
Holiday Camp 
Tajmahal 
Elephanta Caves Po 
Secretariate 
V.W.T.C. 
Colaba Bazar 
Nariman Point 
New Yogakshema 
Bazargate 
Colaba 
Chinchpokli 
Agripada 
Haines Road 
Jacob Circle 
Mumbai G.P.O. 
Mahim
Ajivali 
Chinchwali 
Chirner 
Jagdish Nagar 
Kamothe
Khopoli 
Manivali 
N.S.Karanja 
Ulwa 
Dahivali T.Varedi 
Kalamb 
Kashele 
Kelevane 
Khanda Colony 
Kharghar 
Khopoli Power House 
Koynavale 
Kundevahal 
Mora 
ONGC-dronagiri 
Patalganga 
Rasayani 
Shirdhon 
Wavarle 
Adai 
Apta 
Bhivpuri Camp 
Chawk 
Humgaon 
Jambrung 
Jci Kamothe 
Jui 
Khambewadi 
Koproli 
Lodhivali 
Mandavane 
Navde 
Nere 
Palaspe 
Sai 
Salokh T.Need 
Taloja A.V. 
Borgaon 
Dahivali T.Need 
Jnpt 
Khandas 
Koshane 
Padghe 
Panvel 
Sheva 
Vavoshi 
Ambivali 
Awre 
Barapada 
Bokadvira 
Chanje 
Dighode 
Gaulwadi 
Jasai 
Khalapur 
Kondivade 
Navghar 
Pathraj 
Chikhale 
Karanja 
Karjat  (Raigarh(MH))
Kirwali 
Morbe 
Ongc Complex,panvel 
Sajgaon 
Somatane 
Tiware 
Vahal 
Beed Budruk 
Devichapada 
Donwat 
Gaurkamath 
Gavan 
Gundge 
Kadav 
Kalamboli Node 
Matheran 
Mohopada 
Nasarapur 
Nhava 
Poshir 
Shelu 
Shilphata 
Taloja 
Vakas 
Vashivali 
Vengaon 
Wawanje 
Gulsunde 
Jaskhar 
Kegaon 
Mangaon T.Varedi 
Nandgaon 
Neral 
Palasdari 
Panvel City 
Pargaon 
Poyanje 
Sugawe 
Tondra 
Uran 
Vaje 
Vasheni 
Wavandhal 
Ambeghar 
Bagmandla 
Borlimandla 
Chandore 
Devkanhe 
Gagode Budruk 
Jite 
Kavale 
Kharpale 
Kolad 
Kusgaon 
Kusumbale 
Mhasla 
Midc Mahad 
Morba 
Nagaon 
Nandvi 
Pabal 
Pabhre 
Pangloli 
Revdanda 
Shahabaj 
Shirki 
Shriwardhan 
Tarankhop 
Tetghar 
Vadghar 
Vadhav 
Vadshetvave 
Varsoli 
Vinhere 
Walang 
Wali 
Achloli 
Adhi 
Akshi 
Aravi 
Atone 
Awas 
Bamangaon 
Bapale 
Barasgaon 
Bense 
Bhairav 
Bhave 
Borghar Haveli 
Chordhe 
Dandguri 
Devali 
Dhamansai 
Dhokawade 
Ghosale 
Golegani 
Harkol 
Kamarle 
Khavali 
Kokban 
Korlai 
Kotheri 
Limpniwave 
Lonshi 
Mangaon Budruk 
Mapgaon 
Navipeth Mahad 
Ombali 
Pachhapur 
Palchil 
Rahatad 
Sadavali 
Saigaon 
Sanderi 
Sandoshi 
Sanegaon 
Savrat 
Shenwai 
Shirawali 
Tambadi 
Tamhane 
Thal  (Raigarh(MH))
TolBudruk 
Vile 
Virjoli 
Wahoor 
Waki Budruk 
Zirad 
Agrav 
Bharadkhol 
Chambhargani 
Chinchwali Tarfe Atone 
Chochinde 
Dasgaon 
Devla 
Dighi 
Diveagar 
Dolvi 
Gondale 
Kamble Tarfe Mahad 
Kasu 
Kavil Vahal 
Kolose 
Kumbheshivthar 
Nhave 
PCTS Nagothane 
Poladpur 
Pugaon 
Sakhar 
Salvadnaka Mahad No Dly. 
Salvinde 
Saral 
Savli 
Shedsai 
Talashet 
Tempale 
Underi 
Upper Tudul 
Usroli 
Veshvi 
Walan Budruk 
Ashtami 
Bhoste 
Borlipanchatan 
Chikhlap 
Chinchoti 
Chive 
Chondhi 
Dabhol 
Dahivad 
Gondghar 
Goregaon  (Raigarh(MH))
Hatond 
Jambhulpada 
Jamgaon 
Khamb 
Khamgaon 
Kurul RCF Colony 
Lonere 
Mahagaon 
Mangaon  (Raigarh(MH))
Mendadi 
Mumurshi 
Pachad 
Palas 
Panhalghar 
Pen 
Pigonde 
Pipenagar 
Rajapuri 
Rajewadi 
Ranawali 
Roha 
Sasawane 
Shahapur 
Tala  (Raigarh(MH))
Talavade 
Wadwali 
Walke 
Agardanda 
Ainghar 
Ambavade 
Balavali 
Bamnoli 
Bhalgaon 
Borghar 
Chandhave Budruk 
Chanera 
Chimbhave 
Dhamandevi 
Divil 
Hamrapur 
Khandpoli 
Khargaon 
Kihim 
Kolmandla 
Konzar 
Koste Khurd 
Kurle 
Malyan 
Manjaravane 
Muthavali Tarfe Tala 
Nagothane 
Narangi 
Narvan 
Nizampur  (Raigarh(MH))
Pali  (Raigarh(MH))
Poynad 
Purar 
Ransai 
Ravalje 
Ravdhal 
Rave 
Siddheshwar 
Turbhe Khurd 
Usarghar 
Varandh 
Varandoli 
Vihoor 
Wadvali 
Wagholi 
Adavale Budruk 
Adgaon 
Amtem 
Bharje 
Bhonang 
Birwadi 
Chaul 
Dahivali 
Deopur 
Dharavali 
Ghotawade 
Govele 
Hashiware 
Janjira Murud 
Kalavali 
Kamarli 
Kamble Tarfe Birwadi 
Kandale 
Kapade Budruk 
Karanjadi 
Kurul 
Mahargul 
Majgaon Tamhane 
Mazeri 
Medha 
Mohot 
Nate 
Natondi 
Navadar Navagaon 
Nigade 
Paithan 
Pangari 
Parali 
Patnus 
Pen Tarfe Tale 
Pingalsai 
Revtale 
Roha AV 
Sawad 
Shighre 
Sonkhar 
Talawali Terfe Diwali 
Taloshi 
Vadkhal 
Varvatane 
Velas 
Walwati 
Wavediwali 
Ambet 
Borwadi 
Chandgaon 
Dahigaon 
Dapoli 
Degaon 
Galsure 
Hareshwar 
Hodgaon 
Jasawali 
Johe 
Jui Budruk 
Kelte 
Kemburli 
Khaire Budruk 
Khandale 
Khardi 
Kondhavi 
Kotwal Budruk 
Kudli 
Kurdus 
Lohare 
Mahad 
Mandle 
Mangarul 
Ratwad 
RCF Thal 
Roth Khurd 
Sarsoli 
Shekhadi 
Talegaon 
Taliye 
Veer 
Vikram Baug 
Wagheri 
Wakan 
Wakanfata 
Walan Khurd 
Washi 
Alibag 
Bhale 
Bhira  (Raigarh(MH))
Dhamne 
Gadab 
Kashid 
Kharavali 
Kharsai 
Kinjaloli Budruk 
Kolwat 
Kudgaon 
Mahal Mirya Dongar 
Mandad 
Mangrun 
Nadsur 
Nagloli 
Padvi 
Palasgaon Khurd 
Pitsai 
Ramraj 
Sarve 
Sav 
Sawarsai 
Sudkoli 
Talegaon Tarfe Goregaon 
Tokarde 
Unegaon 
Usar 
Usar Khurd 
Varsai 
Wighawali 
TTC Industrial Area Mahape
Gowalia Tank 
Ranade Road 
Cumballa Hill 
Gokhale Road  (Mumbai)
Bharat Nagar  (Mumbai)
Grant Road 
S V Marg 
Tardeo 
Bhawani Shankar Rd 
Bhawani Shankar 
Malabar Hill 
N.S.Patkar Marg 
S V S Marg 
Shivaji Park  (Mumbai)
Cumballa Sea Face 
Dr Deshmukh Marg 
Vashi Sec-26 
Vashi  (Thane)
Konkan Bhavan 
Belapur Node-- III 
Nerul Node-II 
Nerul Sec-48 
Darave 
Sanpada 
Ghansoli 
Turbhe Market 
Belapur Node- V 
K.U.Bazar 
Kopar Khairne 
Nerul Node-III 
Turbhe 
Vashi-VII 
Additional Ambernath 
Atali 
Dabhad 
Ulhasnagar
Kasarvadavali 
Dalkhan 
Dighashi 
Kalyan Rs 
Katemanivali 
Manda 
Mangrul 
Manpada 
Nehroli 
Netaji Bazar 
Nilje 
Saralgaon 
Shastrinagar  (Thane)
Thane East 
Ulhasnagar-1 
Ulhasnagar-5 
Vadavali 
Andad 
Asangaon 
Bhatsanagar 
Chimbipada 
Diwa 
Dolkhamb 
Gegaon 
Kharid 
Kinholi 
Kunde 
Mahapoli 
Manjarli 
Narivali 
Phalegaon 
Sakadbav 
Saralambe 
Saravali 
Shahapur  (Thane)
Shirgaon 
Thane Bazar 
Vehele 
Vehloli 
Badlapur E.D. 
Bhiwandi 
Dawale 
Dhasai 
Dombivali I.A. 
Dwarli 
Ganeshwadi  (Thane)
Kalher 
Kansai 
Kolthan 
Murbad 
Padle 
Paye 
Rayate 
Shrirangnagar 
Station Road Unr-3 
Titwala 
Tulai 
Ulhasnagar-4 
Vadpe 
Amane 
Kasegaon 
Khutghar 
Moroshi 
Mumbra 
Ramnagar  (Thane)
Sakurli 
Sayale 
Shantinagar E.D. 
Tembhurli 
Thane 
Thune 
Ulhasnagar-2 
Varap 
Alyani 
Atgaon 
Chondhe Colony 
Gunde 
Kausa 
Kharbav 
Kondhale 
Kopri Colony 
